url,license_type
http://creativecommons.org/licenses/by/4.0/,BY/4.0
https://creativecommons.org/licenses/by/4.0/,BY/4.0
http://creativecommons.org/licenses/by-sa/4.0/,BY-SA/4.0
https://creativecommons.org/licenses/by-sa/4.0/,BY-SA/4.0
http://creativecommons.org/licenses/by-nd/4.0/,BY-ND/4.0
https://creativecommons.org/licenses/by-nd/4.0/,BY-ND/4.0
http://creativecommons.org/licenses/by-nc/4.0/,BY-NC/4.0
https://creativecommons.org/licenses/by-nc/4.0/,BY-NC/4.0
http://creativecommons.org/licenses/by-nc-sa/4.0/,BY-NC-SA/4.0
https://creativecommons.org/licenses/by-nc-sa/4.0/,BY-NC-SA/4.0
http://creativecommons.org/licenses/by-nc-nd/4.0/,BY-NC-ND/4.0
https://creativecommons.org/licenses/by-nc-nd/4.0/,BY-NC-ND/4.0
http://creativecommons.org/licenses/by/3.0/,BY/3.0
https://creativecommons.org/licenses/by/3.0/,BY/3.0
http://creativecommons.org/licenses/by-sa/3.0/,BY-SA/3.0
https://creativecommons.org/licenses/by-sa/3.0/,BY-SA/3.0
http://creativecommons.org/licenses/by-nd/3.0/,BY-ND/3.0
https://creativecommons.org/licenses/by-nd/3.0/,BY-ND/3.0
http://creativecommons.org/licenses/by-nc/3.0/,BY-NC/3.0
https://creativecommons.org/licenses/by-nc/3.0/,BY-NC/3.0
http://creativecommons.org/licenses/by-nc-sa/3.0/,BY-NC-SA/3.0
https://creativecommons.org/licenses/by-nc-sa/3.0/,BY-NC-SA/3.0
http://creativecommons.org/licenses/by-nc-nd/3.0/,BY-NC-ND/3.0
https://creativecommons.org/licenses/by-nc-nd/3.0/,BY-NC-ND/3.0
,BY
,BY-SA
,BY-ND
,BY-NC
,BY-NC-SA
,BY-NC-ND