Acre;AC;Norte
Amapá;AP;Norte
Amazonas;AM;Norte
Pará;PA;Norte
Rondônia;RO;Norte
Roraima;RR;Norte
Tocantins;TO;Norte
Maranhão;MA;Nordeste
Piauí;PI;Nordeste
Ceará;CE;Nordeste
Rio Grande do Norte;RN;Nordeste
Pernambuco;PE;Nordeste
Paraíba;PB;Nordeste
Sergipe;SE;Nordeste
Alagoas;AL;Nordeste
Bahia;BA;Nordeste
Mato Grosso;MT;Centro-oeste
Mato Grosso do Sul;MS;Centro-oeste
Goiás;GO;Centro-oeste
Paraná;PR;Sul
Rio Grande do Sul;RS;Sul
Santa Catarina;SC;Sul
São Paulo;SP;Sudeste
Rio de Janeiro;RJ;Sudeste
Espírito Santo;ES;Sudeste
Minas Gerais;MG;Sudeste