ThematicAreaLevel0;ThematicAreaLevel1;ThematicAreaLevel2
UNDEFINED;;
NOT_APPLICABLE;;
ALL;;
Ciências da Vida;;
Ciências da Vida;Ciências Agrárias;
Ciências da Vida;Ciências Agrárias;Ciência de Alimentos
Ciências da Vida;Ciências Agrárias;Ciências Agrárias I
Ciências da Vida;Ciências Agrárias;Medicina Veterinária
Ciências da Vida;Ciências Agrárias;Zootecnia / Recursos Pesqueiros
Ciências da Vida;Ciências Biológicas;
Ciências da Vida;Ciências Biológicas;Biodiversidade
Ciências da Vida;Ciências Biológicas;Ciências Biológicas I
Ciências da Vida;Ciências Biológicas;Ciências Biológicas II
Ciências da Vida;Ciências Biológicas;Ciências Biológicas III
Ciências da Vida;Ciências da Saúde;
Ciências da Vida;Ciências da Saúde;Educação Física
Ciências da Vida;Ciências da Saúde;Enfermagem
Ciências da Vida;Ciências da Saúde;Farmácia
Ciências da Vida;Ciências da Saúde;Medicina I
Ciências da Vida;Ciências da Saúde;Medicina II
Ciências da Vida;Ciências da Saúde;Medicina III
Ciências da Vida;Ciências da Saúde;Nutrição
Ciências da Vida;Ciências da Saúde;Odontologia
Ciências da Vida;Ciências da Saúde;Saúde Coletiva
Humanidades;;
Humanidades;Ciências Humanas;
Humanidades;Ciências Humanas;Antropologia / Arqueologia
Humanidades;Ciências Humanas;Ciência Política e Relações Internacionais
Humanidades;Ciências Humanas;Ciências da Religião e Teologia
Humanidades;Ciências Humanas;Educação
Humanidades;Ciências Humanas;Filosofia
Humanidades;Ciências Humanas;Geografia
Humanidades;Ciências Humanas;História
Humanidades;Ciências Humanas;Psicologia
Humanidades;Ciências Humanas;Sociologia
Humanidades;Ciências Sociais Aplicadas;
Humanidades;Ciências Sociais Aplicadas;"Administração Pública e de Empresas; Ciências Contábeis e Turismo"
Humanidades;Ciências Sociais Aplicadas;"Arquitetura; Urbanismo e Design"
Humanidades;Ciências Sociais Aplicadas;Comunicação e Informação
Humanidades;Ciências Sociais Aplicadas;Direito
Humanidades;Ciências Sociais Aplicadas;Economia
Humanidades;Ciências Sociais Aplicadas;Planejamento Urbano e Regional / Demografia
Humanidades;Ciências Sociais Aplicadas;Serviço Social
Humanidades;"Linguística; Letras e Artes";
Humanidades;"Linguística; Letras e Artes";Artes
Humanidades;"Linguística; Letras e Artes";Linguística e Literatura
"Ciências Exatas; Tecnológicas e Multidisciplinar";;
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;Astronomia / Física
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;Ciência da Computação
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;Geociências
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;Matemática / Probabilidade e Estatística
"Ciências Exatas; Tecnológicas e Multidisciplinar";Ciências Exatas e da Terra;Química
"Ciências Exatas; Tecnológicas e Multidisciplinar";Engenharias;
"Ciências Exatas; Tecnológicas e Multidisciplinar";Engenharias;Engenharias I
"Ciências Exatas; Tecnológicas e Multidisciplinar";Engenharias;Engenharias II
"Ciências Exatas; Tecnológicas e Multidisciplinar";Engenharias;Engenharias III
"Ciências Exatas; Tecnológicas e Multidisciplinar";Engenharias;Engenharias IV
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;Biotecnologia
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;Ciências Ambientais
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;Ensino
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;Interdisciplinar
"Ciências Exatas; Tecnológicas e Multidisciplinar";Multidisciplinar;Materiais